Atomtypes,Cuttoff,Ncliques,Distance,Median(Score),LDA,SUC,SAM,LLP,U5P,1PE,GSH,PMP,PLM,BOG,Mean
CA_CB,1.5,5,6,SrelScore08,0.499382716,0.5793981481,0.5946759259,0.768441358,0.6573302469,0.3661265432,0.7770061728,0.8454475309,0.5115740741,0.488117284,0.60875
CA_CB,1.5,5,6,Srel,0.5009259259,0.58125,0.5925154321,0.7614197531,0.656712963,0.3692901235,0.768287037,0.8472993827,0.5172839506,0.4919753086,0.6086959877
CA_CB,1.5,5,6,Tanimoto,0.5009259259,0.58125,0.5925154321,0.7614197531,0.656712963,0.3692901235,0.768287037,0.8472993827,0.5172839506,0.4919753086,0.6086959877
CA_ACC_DON,2.5,5,6,SOScore05,0.3155864198,0.5725308642,0.6875,0.725617284,0.612654321,0.4554012346,0.8441358025,0.888117284,0.5926697531,0.3892746914,0.6083487654
CA,2.5,5,6,GO,0.4763117284,0.5331790123,0.7229938272,0.7483796296,0.5930555556,0.4782407407,0.7214506173,0.8032407407,0.5293981481,0.4657407407,0.6071990741
CA,1.5,5,6,SO,0.4866512346,0.5319444444,0.6342592593,0.5991512346,0.7427469136,0.4958333333,0.6834876543,0.8311728395,0.5476851852,0.512345679,0.6065277778
CA_CB,3.5,5,6,SO,0.4361882716,0.4923611111,0.7679012346,0.7227623457,0.6516203704,0.4141975309,0.7967592593,0.8021604938,0.49375,0.4783179012,0.6056018519
CA_CB,1.5,5,6,SrelScore05,0.4947530864,0.5685185185,0.5970679012,0.7601851852,0.643132716,0.3665895062,0.7882716049,0.837962963,0.5108024691,0.4882716049,0.6055555556
CA_CB_ACC_DON,1.5,5,6,SOScore08,0.4732253086,0.4983024691,0.6574845679,0.5933641975,0.5821759259,0.5175925926,0.8060185185,0.9101851852,0.5598765432,0.4552469136,0.6053472222
CA_CB_ACC_DON,2.5,5,6,SO,0.3150462963,0.5234567901,0.6945987654,0.7270061728,0.6327932099,0.4436728395,0.8459104938,0.8925154321,0.5833333333,0.3945216049,0.6052854938
CA_ACC_DON,2,5,6,GO,0.4924382716,0.6260802469,0.7303240741,0.7043981481,0.4979938272,0.5103395062,0.7427469136,0.7078703704,0.5454475309,0.4944444444,0.6052083333
CA_ACC_DON,3.5,5,6,GO,0.443904321,0.6766975309,0.6351080247,0.7226080247,0.531095679,0.4909722222,0.7081018519,0.7709104938,0.5487654321,0.5195216049,0.6047685185
CA_ACC_DON,1.5,5,6,SOScore08,0.4101851852,0.4796296296,0.6486111111,0.5856481481,0.6098765432,0.5462962963,0.7961419753,0.9171296296,0.5910493827,0.4607253086,0.604529321
CA_CB,2.5,5,6,SOScore08,0.4574845679,0.5010030864,0.7446759259,0.7077932099,0.6446759259,0.4028549383,0.7820987654,0.8078703704,0.4984567901,0.4979166667,0.6044830247
CA_CB,2,5,6,SOScore05,0.462037037,0.5445216049,0.7499228395,0.6515432099,0.6679783951,0.4034722222,0.787808642,0.7909722222,0.4776234568,0.5088734568,0.6044753086
CA_CB_ACC_DON,2,5,6,SO,0.3497685185,0.5252314815,0.6953703704,0.6993055556,0.6106481481,0.4739197531,0.8316358025,0.9033950617,0.5661265432,0.3891203704,0.6044521605
CA_ACC_DON,3,5,6,SOScore05,0.3386574074,0.5844135802,0.6799382716,0.7425925926,0.6448302469,0.3674382716,0.8553240741,0.8823302469,0.5525462963,0.3945987654,0.6042669753
CA_CB_ACC_DON,3,5,6,SOScore05,0.3554012346,0.6100308642,0.6843364198,0.7433641975,0.6487654321,0.3914351852,0.8444444444,0.8861882716,0.5008487654,0.3764660494,0.6041280864
CA_ACC_DON,2,5,6,SOScore08,0.3526234568,0.4831018519,0.699845679,0.7023148148,0.6236882716,0.4650462963,0.8197530864,0.9047839506,0.5832561728,0.3994598765,0.6033873457
CA_CB_ACC_DON,2.5,5,6,GO,0.5211419753,0.6801697531,0.6632716049,0.6632716049,0.5433641975,0.5142746914,0.7026234568,0.7130401235,0.5670524691,0.4573302469,0.6025540123
CA_CB,2.5,5,6,GO,0.4627314815,0.5391975309,0.7037808642,0.7359567901,0.6168981481,0.4071759259,0.8044753086,0.7659722222,0.5210648148,0.4675154321,0.6024768519
CA_CB_ACC_DON,1.5,5,6,SO,0.4595679012,0.4776234568,0.6550925926,0.5845679012,0.5844135802,0.5174382716,0.8023148148,0.9125771605,0.5540895062,0.4714506173,0.6019135802
CA,3.5,5,6,aaScore08,0.4944444444,0.5486882716,0.7084876543,0.7772376543,0.6757716049,0.499537037,0.5808641975,0.6402006173,0.593904321,0.4901234568,0.6009259259
CA_ACC_DON,2,5,6,SO,0.3327160494,0.4716049383,0.6966049383,0.693595679,0.6367283951,0.4650462963,0.8145061728,0.906095679,0.581558642,0.4042438272,0.6002700617
CA_CB,3.5,5,6,GO,0.469212963,0.5542438272,0.6994598765,0.7264660494,0.5655092593,0.4074845679,0.8026234568,0.768904321,0.5367283951,0.4645833333,0.5995216049
